"AS/1","AS/1/LABEL","AS/1/ID","AS/2","AS/2/LABEL","AS/2/ID","CT/1","CT/1/LABEL","CT/1/ID","CT/2","CT/2/LABEL","CT/2/ID","CT/3","CT/3/LABEL","CT/3/ID","All Gene Biomarkers","BGene/1","BGene/1/LABEL","BGene/1/ID","BGene/2","BGene/2/LABEL","BGene/2/ID","BGene/3","BGene/3/LABEL","BGene/3/ID","BGene/4","BGene/4/LABEL","BGene/4/ID","BGene/5","BGene/5/LABEL","BGene/5/ID","BGene/6","BGene/6/LABEL","BGene/6/ID","BGene/7","BGene/7/LABEL","BGene/7/ID","BGene/8","BGene/8/LABEL","BGene/8/ID","BGene/9","BGene/9/LABEL","BGene/9/ID","BGene/10","BGene/10/LABEL","BGene/10/ID","BGene/11","BGene/11/LABEL","BGene/11/ID","BGene/12","BGene/12/LABEL","BGene/12/ID","BGene/13","BGene/13/LABEL","BGene/13/ID","BProtein/1","BProtein/1/LABEL","BProtein/1/ID","BProtein/2","BProtein/2/LABEL","BProtein/2/ID","BProtein/3","BProtein/3/LABEL","BProtein/3/ID","BProtein/4","BProtein/4/LABEL","BProtein/4/ID","BProtein/5","BProtein/5/LABEL","BProtein/5/ID","BProtein/6","BProtein/6/LABEL","BProtein/6/ID","BProtein/7","BProtein/7/LABEL","BProtein/7/ID","BProtein/8","BProtein/8/LABEL","BProtein/8/ID","BProtein/9","BProtein/9/LABEL","BProtein/9/ID","BProtein/10","BProtein/10/LABEL","BProtein/10/ID","BProtein/11","BProtein/11/LABEL","BProtein/11/ID","BProtein/12","BProtein/12/LABEL","BProtein/12/ID","FTU/1","FTU/1/LABEL","FTU/1/ID","REF/1","REF/1/DOI","REF/1/NOTES","REF/2","REF/2/DOI","REF/2/NOTES"
"Blood","Blood","UBERON:0000178","","","","B lineage","lymphocyte of B lineage","CL:0000945","immature B cell","immature B cell","CL:0000816","","","","CD19, PAX5, IGHM, MS4A1","CD19","","HGNC:1633","PAX5","","HGNC:8619","IGHM","","HGNC:5541","MS4A1","","HGNC:7315","","","","","","","","","","","","","","","","","","","","","","","","","","","","CD19+","CD19","HGNC:1633","CD10+","MME","HGNC:7154","CD20+","MS4A1","HGNC:7315","IgM+/-","IGHM","HGNC:5541","IgD+/-","IGHD","HGNC:5480","","","","","","","","","","","","","","","","","","","","","","","","","","DOI: 10.3389/fimmu.2012.00302","","","",""
"Blood","Blood","UBERON:0000178","","","","B lineage","lymphocyte of B lineage","CL:0000945","memory B cell","memory B cell","CL:0000787","","","","CD19, MS4A1, IGHA1, IGHG1, CD82, SELL, CD27","CD19","","HGNC:1633","MS4A1","","HGNC:7315","IGHA1","","HGNC:5478","IGHG1","","HGNC:5525","CD82","","HGNC:6210","SELL","","HGNC:10720","CD27","","HGNC:11922","","","","","","","","","","","","","","","","","","","CD19+","CD19","HGNC:1633","CD20+","MS4A1","HGNC:7315","CD21+","CR2","HGNC:2336","CD22+","CD22","HGNC:1643","CD27+","CD27","HGNC:11922","IgM+/-","IGHM","HGNC:5541","IgD+/-","IGHD","HGNC:5480","","","","","","","","","","","","","","","","","","","","DOI: 10.1002/jcla.20001","","","",""
"Blood","Blood","UBERON:0000178","","","","B lineage","lymphocyte of B lineage","CL:0000945","naive B cell","naive B cell","CL:0000788","","","","CD19, PAX5, IGHM, MS4A1, CD40, FCER2","CD19","","HGNC:1633","PAX5","","HGNC:8619","IGHM","","HGNC:5541","MS4A1","","HGNC:7315","CD40","","HGNC:11919","FCER2","","HGNC:3612","","","","","","","","","","","","","","","","","","","","","","CD19+","CD19","HGNC:1633","CD20+","MS4A1","HGNC:7315","CD21+","CR2","HGNC:2336","IgD+","IGHD","HGNC:5480","CD27-","CD27","HGNC:11922","CD10-","MME","HGNC:7154","CD38+/lo","CD38","HGNC:1667","CD24+/lo","CD24","HGNC:1645","","","","","","","","","","","","","","","","","DOI: 10.1038/s41467-019-12464-3","","","",""
"Blood","Blood","UBERON:0000178","","","","B lineage","lymphocyte of B lineage","CL:0000945","transitional B cell","transitional stage B cell","CL:0000818","","","","IGLL5, SOX4, BCL7A, TCL1A, FCRLA, CD24","IGLL5","","HGNC:38476","SOX4","","HGNC:11200","BCL7A","","HGNC:1004","TCL1A","","HGNC:11648","FCRLA","","HGNC:18504","CD24","","HGNC:1645","","","","","","","","","","","","","","","","","","","","","","CD19+","CD19","HGNC:1633","CD20+","MS4A1","HGNC:7315","CD21+","CR2","HGNC:2336","CD22+","CD22","HGNC:1643","IgD+","IGHD","HGNC:5480","CD27-","CD27","HGNC:11922","CD10+","MME","HGNC:7154","CD38+","CD38","HGNC:1667","CD24+","CD24","HGNC:1645","CD5+","CD5","HGNC:1685","","","","","","","","","","","DOI: 10.1073/pnas.172384399","","","",""
"Blood","Blood","UBERON:0000178","","","","dendritic cell (DC)","dendritic cell, human","CL:0001056","dendritic cell type 1 (DC1)","conventional dendritic cell","CL:0000990","","","","CLEC9A, CADM1, XCR1","CLEC9A","","HGNC:26705","CADM1","","HGNC:5951","XCR1","","HGNC:1625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD14-","CD14","HGNC:1628","CD16-","FCGR3A","HGNC:3619","CD56-","NCAM1","HGNC:7656","HLA-DR+","","","CD11c+/lo","ITGAX","HGNC:6152","CD123-","IL3RA","HGNC:6012","CD141hi","THBD","HGNC:11784","CLEC9A+","CLEC9A","HGNC:26705","CD1c-/lo","CD1C","HGNC:1636","","","","","","","","DOI: 10.3109/10428194.2013.781167","","","",""
"Blood","Blood","UBERON:0000178","","","","dendritic cell (DC)","dendritic cell, human","CL:0001056","dendritic cell type 2 (DC2)","conventional dendritic cell","CL:0000990","","","","CD1C, FCER1A, CLEC10A, HLA-DQA2, HLA-DPB1, FCGR2B","CD1C","","HGNC:1636","FCER1A","","HGNC:3609","CLEC10A","","HGNC:16916","HLA-DQA2","","HGNC:4943","HLA-DPB1","","HGNC:4940","FCGR2B","","HGNC:3618","","","","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD14-","CD14","HGNC:1628","CD16-","FCGR3A","HGNC:3619","CD56-","NCAM1","HGNC:7656","HLA-DR+","","","CD11c+/lo","ITGAX","HGNC:6152","CD123-","IL3RA","HGNC:6012","CD141-","THBD","HGNC:11784","CD1c+","CD1C","HGNC:1636","","","","","","","","","","","DOI: 10.1016/j.immuni.2017.04.019","","","",""
"Blood","Blood","UBERON:0000178","","","","dendritic cell (DC)","dendritic cell, human","CL:0001056","dendritic cell type 3 (DC3)","dendritic cell, human","CL:0001056","","","","CD1C, FCER1A, CLEC10A, S100A8, S100A9, CD36, CD163","CD1C","","HGNC:1636","FCER1A","","HGNC:3609","CLEC10A","","HGNC:16916","S100A8","","HGNC:10498","S100A9","","HGNC:10499","CD36","","HGNC:1663","CD163","","HGNC:1631","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD14-/lo","CD14","HGNC:1628","CD16-","FCGR3A","HGNC:3619","CD56-","NCAM1","HGNC:7656","HLA-DR+","","","CD11c+/lo","ITGAX","HGNC:6152","CD123-","IL3RA","HGNC:6012","CD141-","THBD","HGNC:11784","CD1c+","CD1C","HGNC:1636","","","","","","","","","","","DOI: 10.1002/cyto.a.23724","","","",""
"Blood","Blood","UBERON:0000178","","","","dendritic cell (DC)","dendritic cell, human","CL:0001056","Plasmacytoid Dendritic Cell (pDC)","plasmacytoid dendritic cell, human","CL:0001058","","","","GZMB, JCHAIN, SERPINF1","GZMB","","HGNC:4709","JCHAIN","","HGNC:5713","SERPINF1","","HGNC:8824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD14-","CD14","HGNC:1628","CD16-","FCGR3A","HGNC:3619","CD56-","NCAM1","HGNC:7656","HLA-DR+","","","CD11c-","ITGAX","HGNC:6152","CD123+","IL3RA","HGNC:6012","CD303+","CLEC4C","HGNC:13258","","","","","","","","","","","","","","DOI: 10.1111/bjh.14467","","","",""
"Blood","Blood","UBERON:0000178","","","","dendritic cell (DC)","dendritic cell, human","CL:0001056","transitional Dendritic Cell (tDC)","immature conventional dendritic cell","CL:0000840","","","","AXL, SIGLEC6, CD22","AXL","","HGNC:905","SIGLEC6","","HGNC:10875","CD22","","HGNC:1643","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD14-","CD14","HGNC:1628","CD16-","FCGR3A","HGNC:3619","CD56-","NCAM1","HGNC:7656","HLA-DR+","","","CD11c-/+","ITGAX","HGNC:6152","CD123+","IL3RA","HGNC:6012","AXL+","AXL","HGNC:905","Siglec6+","SIGLEC6","HGNC:10875","","","","","","","","","","","DOI: 10.1182/blood-2004-02-0769","","","",""
"Blood","Blood","UBERON:0000178","","","","monocyte","monocyte","CL:0000576","CD14 monocyte","CD14-positive monocyte","CL:0001054","","","","VCAN, CST3, CD14, S100A8, S100A9, FCN","VCAN","","HGNC:2464","CST3","","HGNC:2475","CD14","","HGNC:1628","S100A8","","HGNC:10498","S100A9","","HGNC:10499","FCN1","","HGNC:3623","","","","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD56+","NCAM1","HGNC:7656","CD14+","CD14","HGNC:1628","CD16-/lo","FCGR3A","HGNC:3619","CD11c+","ITGAX","HGNC:6152","CD64+","FCGR1A","HGNC:3613","CD62L+","SELL","HGNC:10720","CCR2+","CCR2","HGNC:1603","CD36+","CD36","HGNC:1663","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","monocyte","monocyte","CL:0000576","CD16 monocyte","CD14-low, CD16-positive monocyte","CL:0002396","","","","HES4, MS4A7, IFITM3, FCGR3A, CXCL16, LST1","HES4","","HGNC:24149","MS4A7","","HGNC:13378","IFITM3","","HGNC:5414","FCGR3A","","HGNC:3619","CXCL16","","HGNC:16642","LST1","","HGNC:14189","","","","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD56+","NCAM1","HGNC:7656","CD14-/lo","CD14","HGNC:1628","CD16+","FCGR3A","HGNC:3619","CX3CR1+","CX3CR1","HGNC:2558","CXCR4+","CXCR4","HGNC:2561","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","neutrophilic granulocyte","neutrophil","CL:0000775","neutrophil","neutrophil","CL:0000775","","","","ITGAM, MMP9, PGLYRP1, ORM1, S100A12, FCN1","ITGAM","","HGNC:6149","MMP9","","HGNC:7176","PGLYRP1","","HGNC:8904","ORM1","","HGNC:8498","S100A12","","HGNC:10489","FCN1","","HGNC:3623","","","","","","","","","","","","","","","","","","","","","","CD13+","ANPEP","HGNC:500","CD15+","FUT4","HGNC:4015","CD43+","SPN","HGNC:11249","CD66b+","CEACAM8","HGNC:1820","CD49d+","ITGA4","HGNC:6140","CD11b+","ITGAM","HGNC:6149","CD24+","CD24","HGNC:1645","CD16-","FCGR3A","HGNC:3619","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","granulocyte","granulocyte","CL:0000094","eosinophil","eosinophil","CL:0000771","","","","HDC, CLC, CPA3, IL5RA, GATA2, MS4A3, HPGDS","HDC","","HGNC:4855","CLC","","HGNC:2014","CPA3","","HGNC:2298","IL5RA","","HGNC:6017","GATA2","","HGNC:4171","MS4A3","","HGNC:7317","HPGDS","","HGNC:17890","","","","","","","","","","","","","","","","","","","CD15+","FUT4","HGNC:4015","CD125+","IL5RA","HGNC:6017","FcER1A+","FCER1A","HGNC:3609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","granulocyte","granulocyte","CL:0000094","basophil","basophil","CL:0000767","","","","HDC, CLC, CPA3, IL5RA, GATA2, MS4A3, IL3RA","HDC","","HGNC:4855","CLC","","HGNC:2014","CPA3","","HGNC:2298","IL5RA","","HGNC:6017","GATA2","","HGNC:4171","MS4A3","","HGNC:7317","IL3RA","","HGNC:6012","","","","","","","","","","","","","","","","","","","CD123+","IL3RA","HGNC:6012","CD125+","IL5RA","HGNC:6017","CCR3+","CCR3","HGNC:1604","FcER1A+","FCER1A","HGNC:3609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD4 naïve","","","","","","CD3D, TRAC, TRBC1, IL7R, TRAT1, LTB, AQP3, CD40LG","CD3D","","HGNC:1673","TRAC","","HGNC:12029","TRBC1","","HGNC:12156","IL7R","","HGNC:6024","TRAT1","","HGNC:30698","LTB","","HGNC:6711","AQP3","","HGNC:636","CD40LG","","HGNC:11935","","","","","","","","","","","","","","","","CD3+","CD3E","HGNC:1674","CD4+","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA+","PTPRC","HGNC:9666","CCR7+","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD4 T cell memory","","","","","","CD3D, TRAC, IFI6, LGALS3, PDZD8, ANXA2, CRIP1","CD3D","","HGNC:1673","TRAC","","HGNC:12029","IFI6","","HGNC:4054","LGALS3","","HGNC:6563","PDZD8","","HGNC:26974","ANXA2","","HGNC:537","CRIP1","","HGNC:2360","","","","","","","","","","","","","","","","","","","CD3+","CD3E","HGNC:1674","CD4+","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA-","PTPRC","HGNC:9666","CCR7+","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD4 T cell memory","","","","","","CD3D, TRAC, IL4R, STAT1, MAL, SOCS1, IL2, ODC1, PSAT1, WARS, PYCR1, TNF, NME1","CD3D","","HGNC:1673","TRAC","","HGNC:12029","IL4R","","HGNC:6015","STAT1","","HGNC:11362","MAL","","HGNC:6817","SOCS1","","HGNC:19383","IL2","","HGNC:6001","ODC1","","HGNC:8109","PSAT1","","HGNC:19129","WARS","","HGNC:12729","PYCR1","","HGNC:9721","TNF","","HGNC:11892","NME1","","HGNC:7849","CD3+","CD3E","HGNC:1674","CD4+","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA-","PTPRC","HGNC:9666","CCR7-","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD4 T cell effector memory CD45RA","","","","","","CD3D, TRAC, IL4R, STAT1, MAL, SOCS1, IL2, ODC1, PSAT1, WARS, PYCR1, TNF, NME1","CD3D","","HGNC:1673","TRAC","","HGNC:12029","IL4R","","HGNC:6015","STAT1","","HGNC:11362","MAL","","HGNC:6817","SOCS1","","HGNC:19383","IL2","","HGNC:6001","ODC1","","HGNC:8109","PSAT1","","HGNC:19129","WARS","","HGNC:12729","PYCR1","","HGNC:9721","TNF","","HGNC:11892","NME1","","HGNC:7849","CD3+","CD3E","HGNC:1674","CD4+","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA+","PTPRC","HGNC:9666","CCR7-","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD8 naïve","","","","","","CD3D, TRAC, AQP3, IL7R","CD3D","","HGNC:1673","TRAC","","HGNC:12029","AQP3","","HGNC:636","IL7R","","HGNC:6024","","","","","","","","","","","","","","","","","","","","","","","","","","","","CD3+","CD3E","HGNC:1674","CD4-","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA+","PTPRC","HGNC:9666","CCR7+","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD8 T cell memory","","","","","","PDZD8, CXCR6, PRF1, CRIP1, ITGA1, GZMB","PDZD8","","HGNC:26974","CXCR6","","HGNC:16647","PRF1","","HGNC:9360","CRIP1","","HGNC:2360","ITGA1","","HGNC:6134","GZMB","","HGNC:4709","","","","","","","","","","","","","","","","","","","","","","CD3+","CD3E","HGNC:1674","CD4-","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA-","PTPRC","HGNC:9666","CCR7+","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD8 T cell effector memory","","","","","","CD3D, TRAC, CCL3, CCL4, HOPX, GZMB","CD3D","","HGNC:1673","TRAC","","HGNC:12029","CCL3","","HGNC:10627","CCL4","","HGNC:10630","HOPX","","HGNC:24961","GZMB","","HGNC:4709","","","","","","","","","","","","","","","","","","","","","","CD3+","CD3E","HGNC:1674","CD4-","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA+","PTPRC","HGNC:9666","CCR7-","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","CD8 T cell effector memory CD45RA","effector memory CD8-positive, alpha-beta T cell, terminally differentiated","CL:0001062","","","","CD3D, TRAC, PRF1, HOPX, NKG7, GNLY, IFIT3, KLRD1, CCL5","CD3D","","HGNC:1673","TRAC","","HGNC:12029","PRF1","","HGNC:9360","HOPX","","HGNC:24961","NKG7","","HGNC:7830","GNLY","","HGNC:4414","IFIT3","","HGNC:5411","KLRD1","","HGNC:6378","CCL5","","HGNC:10632","","","","","","","","","","","","","CD3+","CD3E","HGNC:1674","CD4-","CD4","HGNC:1678","CD8-","CD8A","HGNC:1706","CD45RA+","PTPRC","HGNC:9666","CCR7-","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","mature CD8 T cell","","","","","","CCL5, GZMH, IL32, CD8A, DUSP2, KLRG1, TRGC2, GZMK","CCL5","","HGNC:10632","GZMH","","HGNC:4710","IL32","","HGNC:16830","CD8A","","HGNC:1706","DUSP2","","HGNC:3068","KLRG1","","HGNC:6380","TRGC2","","HGNC:12276","GZMK","","HGNC:4711","","","","","","","","","","","","","","","","CD3+","CD3E","HGNC:1674","CD8+","CD8A","HGNC:1706","CD4-","CD4","HGNC:1678","CD27+/-","CD27","HGNC:11922","CD38+","CD38","HGNC:1667","CD45RA+/-","PTPRC","HGNC:9666","CD62L+/-","SELL","HGNC:10720","CCR7+/-","CCR7","HGNC:1608","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","NK lymphocytes","mature NK T cell","CL:0000814","CD56 bright Natural killer","CD16-negative, CD56-bright natural killer cell","CL:0000938","","","","TRDC, KLRB1, CLIC3, CST7, XCL1, GZMK","TRDC","","HGNC:12253","KLRB1","","HGNC:6373","CLIC3","","HGNC:2064","CST7","","HGNC:2479","XCL1","","HGNC:10645","GZMK","","HGNC:4711","","","","","","","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD20-","MS4A1","HGNC:7315","CD56hi","NCAM1","HGNC:7656","CD16-","FCGR3A","HGNC:3619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","NK lymphocytes","mature NK T cell","CL:0000814","mature Natural killer","mature natural killer cell","CL:0000824","","","","TRDC, KLRB1, CLIC3, CST7, GZMA, GZMB, PRF1, FCGR3A","TRDC","","HGNC:12253","KLRB1","","HGNC:6373","CLIC3","","HGNC:2064","CST7","","HGNC:2479","GZMA","","HGNC:4708","GZMB","","HGNC:4709","PRF1","","HGNC:9360","FCGR3A","","HGNC:3619","","","","","","","","","","","","","","","","CD3-","CD3E","HGNC:1674","CD19-","CD19","HGNC:1633","CD20-","MS4A1","HGNC:7315","CD56+","NCAM1","HGNC:7656","CD16+","FCGR3A","HGNC:3619","CD57+/-","B3GAT1","HGNC:921","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blood","Blood","UBERON:0000178","","","","T lymphocytes","T cell","CL:0000084","T regulatory","regulatory T cell","CL:0000815","","","","TRAC, TRBC1, IL7R, TRAT1, LTB, AQP3, FOXP3, TNFRSF25, TIGIT, CCR6, TNFRSF4","TRAC","","HGNC:12029","TRBC1","","HGNC:12156","IL7R","","HGNC:6024","TRAT1","","HGNC:30698","LTB","","HGNC:6711","AQP3","","HGNC:636","FOXP3","","HGNC:6106","TNFRSF25","","HGNC:11910","TIGIT","","HGNC:26838","CCR6","","HGNC:1607","TNFRSF4","","HGNC:11918","","","","","","","CD3+","CD3E","HGNC:1674","CD4+/-","CD4","HGNC:1678","CD8+/-","CD8A","HGNC:1706","CD25+","IL2RA","HGNC:6008","FOXP3+","FOXP3","HGNC:6106","CTLA4+","CTLA4","HGNC:2505","","","","","","","","","","","","","","","","","","","","","","","","","","",""
